Team,Attack,Defend,HomeAdvantage
Arsenal,2.4004453440577325,0.8639703651259724,0.3561539177961419
Bournemouth,1.8263497746785362,0.2560443887847833,0.3561539177961419
Burnley,1.4641116939833454,0.5638603331712436,0.3561539177961419
Chelsea,2.606248883150796,0.9840372004419594,0.3561539177961419
Crystal Palace,1.7224771186796726,0.26517271190221403,0.3561539177961419
Everton,2.0050503387763916,0.8814893248134796,0.3561539177961419
Hull,1.3333669192553028,-0.04990683906357271,0.3561539177961419
Leicester,1.6875251104188629,0.39582200904556714,0.3561539177961419
Liverpool,2.438769462910552,0.7628001431041543,0.3561539177961419
Man City,2.47305458860905,0.865057027748449,0.3561539177961419
Man United,1.8070720244384517,1.0494536033856867,0.3561539177961419
Middlesbrough,1.2168026374346657,0.6276010237981825,0.3561539177961419
Southampton,1.5448622969660737,0.7550818300970511,0.3561539177961419
Stoke,1.4865093984294133,0.7144664331906888,0.3561539177961419
Sunderland,1.2332652490918659,0.15610632488470746,0.3561539177961419
Swansea,1.6726892158653068,0.20115285227162635,0.3561539177961419
Tottenham,2.6146167961405133,1.2280352229212959,0.3561539177961419
Watford,1.5735424710539985,0.345523423909133,0.3561539177961419
West Brom,1.4637575821609319,0.6975655003718474,0.3561539177961419
West Ham,1.7608724262572042,0.3295956304156228,0.3561539177961419
