HomeTeam,AwayTeam,HomeGoal,AwayGoal,HomeShotOnTarget,AwayShotOnTarget
Everton,Chelsea,1,2,,
Blackburn,Leicester,2,4,,
Sheffield Weds,Liverpool,1,1,,
Wimbledon,Sunderland,1,0,,
Man United,West Ham,2,0,,
Aston Villa,Southampton,1,0,,
Leeds,Middlesbrough,1,1,,
Newcastle,Nott'm Forest,5,0,,
Tottenham,Coventry,1,2,,
Derby,Arsenal,1,3,,
Blackburn,Middlesbrough,0,0,,
Man United,Newcastle,0,0,,
Leicester,Sheffield Weds,1,0,,
Wimbledon,Liverpool,2,1,,
West Ham,Newcastle,0,0,,
Man United,Middlesbrough,3,3,,
Southampton,Blackburn,2,0,,
West Ham,Sheffield Weds,5,1,,
Liverpool,Tottenham,2,1,,
Leicester,Man United,2,2,,
Arsenal,Newcastle,0,1,,
Middlesbrough,Aston Villa,3,2,,
Coventry,Derby,1,2,,
Nott'm Forest,Wimbledon,1,1,,
Sunderland,Everton,3,0,,
Chelsea,Leeds,0,0,,
Tottenham,Middlesbrough,1,0,,
Leicester,West Ham,0,1,,
Derby,Nott'm Forest,0,0,,
Leeds,Aston Villa,0,0,,
Blackburn,Sheffield Weds,4,1,,
Wimbledon,Chelsea,0,1,,
Sunderland,Southampton,0,1,,
Coventry,Arsenal,1,1,,
Aston Villa,Tottenham,1,1,,
Liverpool,Man United,1,3,,
Nott'm Forest,Leeds,1,1,,
Newcastle,Derby,3,1,,
Southampton,Coventry,2,2,,
Chelsea,Leicester,2,1,,
Arsenal,Blackburn,1,1,,
Sheffield Weds,Wimbledon,3,1,,
West Ham,Everton,2,2,,
Middlesbrough,Sunderland,0,1,,
Wimbledon,Leeds,2,0,,
Everton,Liverpool,1,1,,
Newcastle,Chelsea,3,1,,
Sheffield Weds,Newcastle,1,1,,
Sunderland,Liverpool,1,2,,
Southampton,West Ham,2,0,,
Arsenal,Leicester,2,0,,
Everton,Tottenham,1,0,,
Blackburn,Man United,2,3,,
Derby,Aston Villa,2,1,,
Everton,Leicester,1,1,,
Coventry,Chelsea,3,1,,
Wimbledon,Aston Villa,0,2,,
Derby,Southampton,1,1,,
West Ham,Middlesbrough,0,0,,
Sheffield Weds,Tottenham,2,1,,
Leeds,Blackburn,0,0,,
Liverpool,Coventry,1,2,,
Tottenham,Wimbledon,1,0,,
Chelsea,Arsenal,0,3,,
Newcastle,Sunderland,1,1,,
Man United,Derby,2,3,,
Nott'm Forest,Southampton,1,3,,
Aston Villa,Everton,3,1,,
Arsenal,Liverpool,1,2,,
Middlesbrough,Nott'm Forest,1,1,,
Wimbledon,Newcastle,1,1,,
Middlesbrough,Chelsea,1,0,,
Everton,Man United,0,2,,
Sunderland,Nott'm Forest,1,1,,
Sheffield Weds,Leeds,2,2,,
Coventry,West Ham,1,3,,
Southampton,Leicester,2,2,,
Blackburn,Aston Villa,0,2,,
Derby,Tottenham,4,2,,
Leicester,Tottenham,1,1,,
Middlesbrough,Blackburn,2,1,,
Chelsea,Southampton,1,0,,
Wimbledon,West Ham,1,1,,
Chelsea,Sunderland,6,2,,
Man United,Sheffield Weds,2,0,,
Nott'm Forest,Liverpool,1,1,,
Blackburn,Wimbledon,3,1,,
Aston Villa,West Ham,0,0,,
Southampton,Arsenal,0,2,,
Newcastle,Coventry,4,0,,
Leicester,Middlesbrough,1,3,,
Everton,Derby,1,0,,
Tottenham,Leeds,1,0,,
Sheffield Weds,Sunderland,2,1,,
Leeds,Southampton,0,0,,
West Ham,Chelsea,3,2,,
Blackburn,Nott'm Forest,1,1,,
Liverpool,Newcastle,4,3,,
Leeds,Everton,1,0,,
Coventry,Leicester,0,0,,
Sunderland,Man United,2,1,,
Arsenal,Nott'm Forest,2,0,,
Leicester,Aston Villa,1,0,,
Southampton,Everton,2,2,,
Middlesbrough,Derby,6,1,,
Chelsea,Blackburn,1,1,,
Nott'm Forest,Sheffield Weds,0,3,,
Sunderland,Tottenham,0,4,,
Coventry,Wimbledon,1,1,,
Aston Villa,Liverpool,1,0,,
Wimbledon,Leicester,1,3,,
Everton,Arsenal,0,2,,
Derby,Chelsea,3,2,,
Newcastle,Southampton,0,1,,
Leeds,West Ham,1,0,,
Sheffield Weds,Middlesbrough,3,1,,
Tottenham,Nott'm Forest,0,1,,
Man United,Coventry,3,1,,
Blackburn,Sunderland,1,0,,
Southampton,Wimbledon,0,0,,
West Ham,Tottenham,4,3,,
Arsenal,Wimbledon,0,1,,
Coventry,Everton,0,0,,
Southampton,Sheffield Weds,2,3,,
Sunderland,Leeds,0,1,,
Nott'm Forest,Aston Villa,0,0,,
Leicester,Derby,4,2,,
Liverpool,Blackburn,0,0,,
Chelsea,Man United,1,1,,
Middlesbrough,Newcastle,0,1,,
Derby,Sheffield Weds,2,2,,
Arsenal,Man United,1,2,,
Liverpool,Leeds,4,0,,
Aston Villa,Coventry,2,1,,
Derby,West Ham,1,0,,
Tottenham,Arsenal,0,0,,
Newcastle,Leicester,4,3,,
Leeds,Arsenal,0,0,,
Sheffield Weds,Coventry,0,0,,
Wimbledon,Middlesbrough,1,1,,
Everton,Nott'm Forest,2,0,,
Blackburn,West Ham,2,1,,
Aston Villa,Sunderland,1,0,,
Derby,Liverpool,0,1,,
Tottenham,Chelsea,1,2,,
Man United,Southampton,2,1,,
Newcastle,Everton,4,1,,
Leicester,Sunderland,1,1,,
West Ham,Arsenal,1,2,,
Man United,Wimbledon,2,1,,
Nott'm Forest,Coventry,0,1,,
Tottenham,Blackburn,2,1,,
Aston Villa,Sheffield Weds,0,1,,
Leeds,Derby,0,0,,
West Ham,Leeds,0,2,,
Arsenal,Everton,3,1,,
Nott'm Forest,Tottenham,2,1,,
Middlesbrough,Sheffield Weds,4,2,,
Leicester,Wimbledon,1,0,,
Sunderland,Blackburn,0,0,,
Chelsea,Derby,3,1,,
Coventry,Man United,0,2,,
Southampton,Newcastle,2,2,,
Liverpool,Aston Villa,3,0,,
Tottenham,Man United,1,2,,
Sunderland,Arsenal,1,0,,
