HomeTeam,AwayTeam,HomeGoal,AwayGoal,HomeShotOnTarget,AwayShotOnTarget
Derby,Liverpool,1,0,,
West Ham,Leicester,4,3,,
Aston Villa,Arsenal,1,0,,
Everton,Coventry,1,1,,
Barnsley,Man United,0,2,,
Tottenham,Southampton,1,1,,
Leeds,Wimbledon,1,1,,
Crystal Palace,Sheffield Weds,1,0,,
Chelsea,Bolton,2,0,,
Blackburn,Newcastle,1,0,,
Liverpool,Arsenal,4,0,,
Crystal Palace,West Ham,3,3,,
Man United,Leeds,3,0,,
Arsenal,Everton,4,0,,
Liverpool,West Ham,5,0,,
Bolton,Crystal Palace,5,2,,
Newcastle,Chelsea,3,1,,
Coventry,Blackburn,2,0,,
Sheffield Weds,Aston Villa,1,3,,
Leicester,Barnsley,1,0,,
Southampton,Derby,0,2,,
Wimbledon,Tottenham,2,6,,
Coventry,Wimbledon,0,0,,
Leicester,Newcastle,0,0,,
Arsenal,Derby,1,0,,
Chelsea,Blackburn,0,1,,
Crystal Palace,Man United,0,3,,
Derby,Leicester,0,4,,
Barnsley,Arsenal,0,2,,
Everton,Sheffield Weds,1,3,,
Leeds,Coventry,3,3,,
West Ham,Southampton,2,4,,
Chelsea,Liverpool,4,1,,
Aston Villa,Bolton,1,3,,
Tottenham,Newcastle,2,0,,
Blackburn,Wimbledon,0,0,,
Coventry,Liverpool,1,1,,
Chelsea,Sheffield Weds,1,0,,
Crystal Palace,Derby,3,1,,
Bolton,Leeds,2,3,,
Man United,Newcastle,1,1,,
Arsenal,Wimbledon,5,0,,
Southampton,Aston Villa,1,2,,
Everton,Leicester,1,1,,
West Ham,Blackburn,2,1,,
Barnsley,Tottenham,1,1,,
Leicester,Southampton,3,3,,
Blackburn,Arsenal,1,4,,
Tottenham,Coventry,1,1,,
Newcastle,Barnsley,2,1,,
Liverpool,Crystal Palace,2,1,,
Sheffield Weds,West Ham,1,1,,
Wimbledon,Everton,0,0,,
Derby,Bolton,4,0,,
Coventry,Aston Villa,1,2,,
Chelsea,Tottenham,2,0,,
Crystal Palace,Leicester,0,3,,
Barnsley,Sheffield Weds,2,1,,
Bolton,Blackburn,2,1,,
West Ham,Derby,0,0,,
Arsenal,Newcastle,3,1,,
Everton,Leeds,2,0,,
Southampton,Wimbledon,0,1,,
Man United,Liverpool,1,1,,
Leeds,Chelsea,3,1,,
Blackburn,Man United,1,3,,
Derby,Chelsea,0,1,,
Leeds,Barnsley,2,1,,
Tottenham,Everton,1,1,,
Leicester,Coventry,1,1,,
Aston Villa,West Ham,2,0,,
Sheffield Weds,Southampton,1,0,,
Wimbledon,Bolton,0,0,,
Blackburn,Barnsley,2,1,,
Wimbledon,Newcastle,0,0,,
Bolton,Arsenal,0,1,,
West Ham,Leeds,3,0,,
Man United,Wimbledon,2,0,,
Everton,Aston Villa,1,4,,
Southampton,Newcastle,2,1,,
Arsenal,Sheffield Weds,1,0,,
Barnsley,Liverpool,2,3,,
Crystal Palace,Tottenham,1,3,,
Bolton,Leicester,2,0,,
Coventry,Derby,1,0,,
Newcastle,Crystal Palace,1,2,,
Derby,Leeds,0,5,,
Newcastle,Coventry,0,0,,
Wimbledon,Leicester,2,1,,
Barnsley,Southampton,4,3,,
Man United,Arsenal,0,1,,
Aston Villa,Crystal Palace,3,1,,
West Ham,Chelsea,2,1,,
Everton,Blackburn,1,0,,
Tottenham,Liverpool,3,3,,
Bolton,Sheffield Weds,3,2,,
Aston Villa,Barnsley,0,1,,
Leeds,Blackburn,4,0,,
Chelsea,Crystal Palace,6,2,,
Wimbledon,Arsenal,0,1,,
West Ham,Man United,1,1,,
Chelsea,Aston Villa,0,1,,
Sheffield Weds,Man United,2,0,,
Southampton,Everton,2,1,,
Liverpool,Bolton,2,1,,
Leeds,Tottenham,1,0,,
West Ham,Arsenal,0,0,,
Tottenham,Bolton,1,0,,
Crystal Palace,Coventry,0,3,,
Barnsley,Wimbledon,2,1,,
Blackburn,Leicester,5,3,,
Everton,Newcastle,0,0,,
Derby,Sheffield Weds,3,0,,
Chelsea,Man United,0,1,,
Leeds,Southampton,0,1,,
Aston Villa,Liverpool,2,1,,
Liverpool,Everton,1,1,,
Newcastle,Leeds,1,1,,
Coventry,Barnsley,1,0,,
Southampton,Blackburn,3,0,,
Arsenal,Crystal Palace,1,0,,
Bolton,West Ham,1,1,,
Sheffield Weds,Tottenham,1,0,,
Leicester,Chelsea,2,0,,
Wimbledon,Aston Villa,2,1,,
Man United,Derby,2,0,,
Aston Villa,Man United,0,2,,
Southampton,Coventry,1,2,,
Sheffield Weds,Liverpool,3,3,,
Everton,Derby,1,2,,
Tottenham,Leicester,1,1,,
Crystal Palace,Wimbledon,0,3,,
Arsenal,Chelsea,2,0,,
Liverpool,Southampton,2,3,,
Derby,Aston Villa,0,1,,
Coventry,Sheffield Weds,1,0,,
Blackburn,Tottenham,0,3,,
Leicester,Leeds,1,0,,
Barnsley,Everton,2,2,,
Newcastle,West Ham,0,1,,
Man United,Bolton,1,1,,
Aston Villa,Newcastle,0,1,,
Crystal Palace,Leeds,0,2,,
Derby,Tottenham,2,1,,
Sheffield Weds,Wimbledon,1,1,,
Bolton,Coventry,1,5,,
Chelsea,Barnsley,2,0,,
Liverpool,Blackburn,0,0,,
Man United,Leicester,0,1,,
Arsenal,Southampton,3,0,,
West Ham,Everton,2,2,,
Liverpool,Newcastle,1,0,,
Southampton,Man United,1,0,,
Everton,Chelsea,3,1,,
Tottenham,West Ham,1,0,,
Leeds,Sheffield Weds,1,2,,
Coventry,Arsenal,2,2,,
Barnsley,Crystal Palace,1,0,,
Wimbledon,Derby,0,0,,
Blackburn,Aston Villa,5,0,,
Leicester,Liverpool,0,0,,
Newcastle,Bolton,2,1,,
Derby,Blackburn,3,1,,
West Ham,Barnsley,6,0,,
Sheffield Weds,Newcastle,2,1,,
Arsenal,Leeds,2,1,,
Bolton,Southampton,0,0,,
Chelsea,Coventry,3,1,,
Liverpool,Wimbledon,2,0,,
Aston Villa,Leicester,1,1,,
Man United,Tottenham,2,0,,
Crystal Palace,Everton,1,3,,
Southampton,Chelsea,1,0,,
Newcastle,Liverpool,1,2,,
Blackburn,Crystal Palace,2,2,,
Wimbledon,West Ham,1,2,,
Coventry,Man United,3,2,,
Barnsley,Derby,1,0,,
Tottenham,Arsenal,1,1,,
Leeds,Aston Villa,1,1,,
Leicester,Sheffield Weds,1,1,,
Everton,Bolton,3,2,,
West Ham,Coventry,1,0,,
Derby,Newcastle,1,0,,
Chelsea,Wimbledon,1,1,,
Sheffield Weds,Blackburn,0,0,,
Aston Villa,Tottenham,4,1,,
Man United,Everton,2,0,,
Bolton,Barnsley,1,1,,
Arsenal,Leicester,2,1,,
Crystal Palace,Southampton,1,1,,
Liverpool,Leeds,3,1,,
Newcastle,Man United,0,1,,
Blackburn,West Ham,3,0,,
Tottenham,Barnsley,3,0,,
Sheffield Weds,Chelsea,1,4,,
Leeds,Bolton,2,0,,
Aston Villa,Southampton,1,1,,
Derby,Crystal Palace,0,0,,
Liverpool,Coventry,1,0,,
Leicester,Everton,0,1,,
Newcastle,Derby,0,0,,
Man United,Aston Villa,1,0,,
Bolton,Derby,3,3,,
Everton,Wimbledon,0,0,,
West Ham,Sheffield Weds,1,0,,
Coventry,Tottenham,4,0,,
Barnsley,Newcastle,2,2,,
Southampton,Leicester,2,1,,
Chelsea,Leeds,0,0,,
Arsenal,Blackburn,1,3,,
Crystal Palace,Liverpool,0,3,,
Sheffield Weds,Barnsley,2,1,,
Wimbledon,Southampton,1,0,,
Blackburn,Bolton,3,1,,
Tottenham,Chelsea,1,6,,
Newcastle,Arsenal,0,1,,
Liverpool,Man United,1,3,,
Leeds,Everton,0,0,,
Leicester,Crystal Palace,1,1,,
Aston Villa,Coventry,3,0,,
Derby,West Ham,2,0,,
West Ham,Crystal Palace,4,1,,
Bolton,Newcastle,1,0,,
Arsenal,Liverpool,0,1,,
Man United,Blackburn,4,0,,
Everton,Tottenham,0,2,,
Barnsley,Leeds,2,3,,
Bolton,Wimbledon,1,0,,
Southampton,Sheffield Weds,2,3,,
Crystal Palace,Newcastle,1,2,,
Coventry,Leicester,0,2,,
West Ham,Aston Villa,2,1,,
Chelsea,Derby,4,0,,
Chelsea,Everton,2,0,,
Tottenham,Crystal Palace,0,1,,
Leeds,West Ham,3,1,,
Derby,Coventry,3,1,,
Newcastle,Southampton,2,1,,
Wimbledon,Man United,2,5,,
Aston Villa,Everton,2,1,,
Liverpool,Barnsley,0,1,,
Sheffield Weds,Arsenal,2,0,,
Leicester,Bolton,0,0,,
Blackburn,Chelsea,1,0,,
Leicester,Wimbledon,0,1,,
Chelsea,West Ham,2,1,,
Arsenal,Man United,3,2,,
Southampton,Barnsley,4,1,,
Leeds,Derby,4,3,,
Coventry,Newcastle,2,2,,
Sheffield Weds,Bolton,5,0,,
Crystal Palace,Aston Villa,1,1,,
Blackburn,Everton,3,2,,
Liverpool,Tottenham,4,0,,
Everton,Southampton,0,2,,
Bolton,Liverpool,1,1,,
Man United,Sheffield Weds,6,1,,
Derby,Arsenal,3,0,,
Aston Villa,Chelsea,0,2,,
Wimbledon,Coventry,1,2,,
Tottenham,Leeds,0,1,,
Barnsley,Blackburn,1,1,,
Newcastle,Leicester,3,3,,
Leicester,West Ham,2,1,,
Arsenal,Aston Villa,0,0,,
Bolton,Chelsea,1,0,,
Sheffield Weds,Crystal Palace,1,3,,
Newcastle,Blackburn,1,1,,
Coventry,Everton,0,0,,
Man United,Barnsley,7,0,,
Liverpool,Derby,4,0,,
Southampton,Tottenham,3,2,,
Wimbledon,Leeds,1,0,,
Derby,Wimbledon,1,1,,
Barnsley,Coventry,2,0,,
Tottenham,Sheffield Weds,3,2,,
Derby,Man United,2,2,,
Blackburn,Southampton,1,0,,
Everton,Liverpool,2,0,,
Chelsea,Leicester,1,0,,
West Ham,Bolton,3,0,,
Leeds,Newcastle,4,1,,
Aston Villa,Wimbledon,1,2,,
Crystal Palace,Arsenal,0,0,,
Leicester,Derby,1,2,,
Liverpool,Chelsea,4,2,,
Bolton,Aston Villa,0,1,,
Sheffield Weds,Everton,3,1,,
Man United,Crystal Palace,2,0,,
Wimbledon,Blackburn,0,1,,
Arsenal,Barnsley,5,0,,
Southampton,West Ham,3,0,,
Newcastle,Tottenham,1,0,,
Coventry,Leeds,0,0,,
Blackburn,Coventry,0,0,,
Chelsea,Newcastle,1,0,,
Derby,Southampton,4,0,,
West Ham,Liverpool,2,1,,
Tottenham,Wimbledon,0,0,,
Barnsley,Leicester,0,2,,
Crystal Palace,Bolton,2,2,,
Aston Villa,Sheffield Weds,2,2,,
Leeds,Man United,1,0,,
Everton,Arsenal,2,2,,
Man United,Chelsea,2,2,,
Coventry,Crystal Palace,1,1,,
Southampton,Leeds,0,2,,
Newcastle,Everton,1,0,,
Sheffield Weds,Derby,2,5,,
Leicester,Blackburn,1,1,,
Arsenal,West Ham,4,0,,
Wimbledon,Barnsley,4,1,,
Bolton,Tottenham,1,1,,
Liverpool,Aston Villa,3,0,,
Chelsea,Arsenal,2,3,,
West Ham,Newcastle,0,1,,
Aston Villa,Derby,2,1,,
Tottenham,Blackburn,0,0,,
Sheffield Weds,Coventry,0,0,,
Wimbledon,Crystal Palace,0,1,,
Bolton,Man United,0,0,,
Leeds,Leicester,0,1,,
Everton,Barnsley,4,2,,
Southampton,Liverpool,1,1,,
Blackburn,Leeds,3,4,,
Derby,Everton,3,1,,
Newcastle,Wimbledon,1,3,,
Liverpool,Sheffield Weds,2,1,,
Barnsley,Aston Villa,0,3,,
Crystal Palace,Chelsea,0,3,,
Leicester,Tottenham,3,0,,
Arsenal,Bolton,4,1,,
Coventry,Southampton,1,0,,
Man United,West Ham,2,1,,
Bolton,Everton,0,0,,
Aston Villa,Leeds,1,0,,
Derby,Barnsley,1,0,,
West Ham,Wimbledon,3,1,,
Crystal Palace,Blackburn,1,2,,
Arsenal,Tottenham,0,0,,
Sheffield Weds,Leicester,1,0,,
Man United,Coventry,3,0,,
Chelsea,Southampton,4,2,,
Southampton,Crystal Palace,1,0,,
Tottenham,Aston Villa,3,2,,
Barnsley,Bolton,2,1,,
Everton,Man United,0,2,,
Leicester,Arsenal,3,3,,
Wimbledon,Chelsea,0,2,,
Coventry,West Ham,1,1,,
Leeds,Liverpool,0,2,,
Blackburn,Sheffield Weds,7,2,,
Barnsley,Chelsea,0,6,,
Leicester,Man United,0,0,,
Tottenham,Derby,1,0,,
Coventry,Bolton,2,2,,
Everton,West Ham,2,1,,
Southampton,Arsenal,1,3,,
Wimbledon,Sheffield Weds,1,1,,
Leeds,Crystal Palace,0,2,,
Blackburn,Liverpool,1,1,,
Newcastle,Aston Villa,1,0,,
West Ham,Tottenham,2,1,,
Liverpool,Leicester,1,2,,
Sheffield Weds,Leeds,1,3,,
Man United,Southampton,1,0,,
Aston Villa,Blackburn,0,4,,
Crystal Palace,Barnsley,0,1,,
Arsenal,Coventry,2,0,,
Tottenham,Man United,0,2,,
Blackburn,Derby,1,0,,
Newcastle,Sheffield Weds,2,1,,
Leeds,Arsenal,1,1,,
Coventry,Chelsea,3,2,,
Everton,Crystal Palace,1,2,,
Southampton,Bolton,0,1,,
Barnsley,West Ham,1,2,,
Leicester,Aston Villa,1,0,,
Wimbledon,Liverpool,1,1,,
