HomeTeam,AwayTeam,HomeGoal,AwayGoal,HomeShotOnTarget,AwayShotOnTarget
Man United,Coventry,0,0,,
Norwich,Oldham,1,1,,
Chelsea,Sheffield United,3,2,,
Aston Villa,Liverpool,2,1,,
Everton,Wimbledon,3,2,,
Blackburn,Ipswich,0,0,,
Sheffield Weds,Man City,1,1,,
Newcastle,Arsenal,2,0,,
Swindon,Leeds,0,5,,
West Ham,Southampton,3,3,,
Tottenham,QPR,1,2,,
Oldham,Tottenham,0,2,,
Chelsea,Coventry,1,2,,
Man United,Southampton,2,0,,
Oldham,Sheffield United,1,1,,
QPR,West Ham,0,0,,
Leeds,Sheffield Weds,2,2,,
Coventry,Blackburn,2,1,,
Ipswich,Man United,1,2,,
Arsenal,West Ham,0,2,,
Liverpool,Norwich,0,1,,
Wimbledon,Tottenham,2,1,,
Man City,Chelsea,2,2,,
Southampton,Aston Villa,4,1,,
Leeds,Everton,3,0,,
QPR,Swindon,1,3,,
Sheffield United,Newcastle,2,0,,
Oldham,Sheffield Weds,0,0,,
Newcastle,Aston Villa,5,1,,
West Ham,Blackburn,1,2,,
QPR,Arsenal,1,1,,
Leeds,Man United,0,2,,
Chelsea,Swindon,2,0,,
Wimbledon,Oldham,3,0,,
Blackburn,QPR,1,1,,
Tottenham,Southampton,3,0,,
West Ham,Liverpool,1,2,,
Sheffield Weds,Ipswich,5,0,,
Everton,Coventry,0,0,,
Swindon,Wimbledon,2,4,,
Man United,Man City,2,0,,
Aston Villa,Arsenal,1,2,,
Chelsea,Leeds,1,1,,
Norwich,Sheffield United,0,1,,
Newcastle,Oldham,3,2,,
Arsenal,Wimbledon,1,1,,
Leeds,Tottenham,2,0,,
Oldham,West Ham,1,2,,
Liverpool,Newcastle,0,2,,
Wimbledon,Man United,1,0,,
QPR,Everton,2,1,,
Coventry,Sheffield Weds,1,1,,
Sheffield United,Aston Villa,1,2,,
Ipswich,Swindon,1,1,,
Man City,Norwich,1,1,,
Southampton,Blackburn,3,1,,
Arsenal,Chelsea,1,0,,
QPR,Chelsea,1,1,,
Blackburn,Aston Villa,1,0,,
Coventry,Tottenham,1,0,,
Sheffield Weds,QPR,3,1,,
West Ham,Everton,0,1,,
Norwich,Southampton,4,5,,
Man City,Newcastle,2,1,,
Liverpool,Ipswich,1,0,,
Everton,Blackburn,0,3,,
Sheffield United,Arsenal,1,1,,
Southampton,Man City,0,1,,
Wimbledon,Liverpool,1,1,,
Ipswich,Coventry,0,2,,
Tottenham,West Ham,1,4,,
Aston Villa,Norwich,0,0,,
Man United,Oldham,3,2,,
Swindon,Sheffield Weds,0,1,,
Newcastle,Chelsea,0,0,,
QPR,Leeds,0,4,,
Chelsea,Southampton,2,0,,
Liverpool,Sheffield United,1,2,,
Oldham,QPR,4,1,,
West Ham,Ipswich,2,1,,
Coventry,Wimbledon,1,2,,
Arsenal,Swindon,1,1,,
Norwich,Tottenham,1,2,,
Man City,Aston Villa,3,0,,
Sheffield Weds,Everton,5,1,,
Blackburn,Man United,2,0,,
Leeds,Newcastle,1,1,,
Sheffield Weds,Chelsea,3,1,,
Aston Villa,Everton,0,0,,
Southampton,Oldham,1,3,,
Man United,Liverpool,1,0,,
Ipswich,Man City,2,2,,
Newcastle,Norwich,3,0,,
Wimbledon,Blackburn,4,1,,
Sheffield United,West Ham,3,2,,
Wimbledon,Leeds,1,0,,
Blackburn,Swindon,3,1,,
Chelsea,West Ham,2,0,,
Everton,Tottenham,0,1,,
Arsenal,Liverpool,1,0,,
Sheffield United,Southampton,0,0,,
Ipswich,QPR,1,3,,
Coventry,Norwich,2,1,,
Oldham,Man City,0,0,,
Newcastle,Ipswich,2,0,,
Arsenal,Man United,2,2,,
Norwich,Everton,3,0,,
Sheffield Weds,Blackburn,1,2,,
West Ham,Newcastle,2,4,,
Man City,Sheffield United,0,0,,
Southampton,Arsenal,0,4,,
Aston Villa,Oldham,1,2,,
QPR,Wimbledon,1,0,,
Liverpool,Chelsea,2,1,,
Tottenham,Ipswich,1,1,,
Leeds,Coventry,1,0,,
Swindon,Man United,2,2,,
Sheffield United,QPR,1,1,,
Leeds,Aston Villa,2,0,,
Man United,Sheffield Weds,5,0,,
Chelsea,Wimbledon,2,0,,
Liverpool,Everton,2,1,,
Sheffield United,Leeds,2,2,,
Aston Villa,Ipswich,0,1,,
Norwich,QPR,3,4,,
Southampton,Sheffield Weds,1,1,,
Newcastle,Swindon,7,1,,
Man City,Wimbledon,0,1,,
Coventry,Aston Villa,0,1,,
Swindon,West Ham,1,1,,
Wimbledon,Norwich,3,1,,
Man United,Chelsea,0,1,,
Blackburn,Liverpool,2,0,,
QPR,Man City,1,1,,
Sheffield Weds,Newcastle,0,1,,
Tottenham,Sheffield United,2,2,,
Leeds,Southampton,0,0,,
Ipswich,Arsenal,1,5,,
Everton,Oldham,2,1,,
Tottenham,Aston Villa,1,1,,
Oldham,Leeds,1,1,,
Chelsea,Tottenham,4,3,,
Arsenal,Blackburn,1,0,,
Man City,Swindon,2,1,,
Ipswich,Sheffield United,3,2,,
West Ham,Man United,2,2,,
Norwich,Sheffield Weds,1,1,,
Liverpool,Coventry,1,0,,
Southampton,Wimbledon,1,0,,
Newcastle,Coventry,4,0,,
Norwich,Blackburn,2,2,,
Aston Villa,Man City,0,0,,
Blackburn,Newcastle,1,0,,
Coventry,Man City,4,0,,
Swindon,Norwich,3,3,,
Everton,Arsenal,1,1,,
Leeds,Liverpool,2,0,,
Southampton,Liverpool,4,2,,
Norwich,Arsenal,1,1,,
Oldham,Chelsea,2,1,,
Tottenham,Blackburn,0,2,,
Man City,West Ham,0,0,,
Wimbledon,Newcastle,4,2,,
Everton,Ipswich,0,0,,
Aston Villa,Swindon,5,0,,
Sheffield United,Coventry,0,0,,
Aston Villa,Leeds,1,0,,
Norwich,Liverpool,2,2,,
Blackburn,Wimbledon,3,0,,
Oldham,Southampton,2,1,,
Swindon,Coventry,3,1,,
QPR,Man United,2,3,,
Man City,Ipswich,2,1,,
Everton,Chelsea,4,2,,
Tottenham,Sheffield Weds,1,3,,
Coventry,Ipswich,1,0,,
West Ham,Norwich,3,3,,
Blackburn,Leeds,2,1,,
Swindon,Tottenham,2,1,,
Coventry,QPR,0,1,,
Liverpool,Man City,2,1,,
Ipswich,Wimbledon,0,0,,
Sheffield Weds,Sheffield United,3,1,,
Man United,Everton,1,0,,
Arsenal,Oldham,1,1,,
Chelsea,Aston Villa,1,1,,
Newcastle,Southampton,1,2,,
QPR,Newcastle,1,2,,
Everton,Swindon,6,2,,
Aston Villa,West Ham,3,1,,
Norwich,Chelsea,1,1,,
Leeds,Ipswich,0,0,,
Sheffield United,Blackburn,1,2,,
Tottenham,Man United,0,1,,
Man City,Arsenal,0,0,,
Oldham,Liverpool,0,3,,
Southampton,Coventry,1,0,,
Wimbledon,Sheffield Weds,2,1,,
Liverpool,Man United,3,3,,
