HomeTeam,AwayTeam,HomeGoal,AwayGoal,HomeShotOnTarget,AwayShotOnTarget
Everton,Middlesbrough,0,2,,
Southampton,Wimbledon,2,0,,
Newcastle,Arsenal,4,2,,
Bradford,Liverpool,1,0,,
Watford,Coventry,1,0,,
Chelsea,Derby,4,0,,
Aston Villa,Man United,0,1,,
Tottenham,Sunderland,3,1,,
West Ham,Leeds,0,0,,
Sheffield Weds,Leicester,4,0,,
Arsenal,Sheffield Weds,3,3,,
Leeds,Everton,1,1,,
Liverpool,Southampton,0,0,,
Wimbledon,Aston Villa,2,2,,
Arsenal,Chelsea,2,1,,
Derby,Newcastle,0,0,,
Middlesbrough,Watford,1,1,,
Sunderland,West Ham,1,0,,
Leicester,Bradford,3,0,,
Coventry,Sheffield Weds,4,1,,
Man United,Tottenham,3,1,,
Leeds,Watford,3,1,,
Liverpool,Leicester,0,2,,
Middlesbrough,Newcastle,2,2,,
Arsenal,West Ham,2,1,,
Bradford,Wimbledon,3,0,,
Sheffield Weds,Leeds,0,3,,
Aston Villa,Sunderland,1,1,,
Watford,Man United,2,3,,
Everton,Arsenal,0,1,,
Southampton,Leicester,1,2,,
Tottenham,Derby,1,1,,
West Ham,Middlesbrough,0,1,,
Chelsea,Liverpool,2,0,,
Newcastle,Coventry,2,0,,
Derby,Southampton,2,0,,
Man United,Chelsea,3,2,,
Sunderland,Bradford,0,1,,
Watford,Arsenal,2,3,,
Newcastle,Leeds,2,2,,
Southampton,Man United,1,3,,
West Ham,Coventry,5,0,,
Tottenham,Wimbledon,2,0,,
Chelsea,Middlesbrough,1,1,,
Aston Villa,Leicester,2,2,,
Sheffield Weds,Sunderland,0,2,,
Everton,Liverpool,0,0,,
Bradford,Derby,4,4,,
Leicester,Tottenham,0,1,,
Wimbledon,Liverpool,1,2,,
Leeds,Arsenal,0,4,,
Everton,Bradford,4,0,,
Derby,West Ham,1,2,,
Newcastle,Leicester,0,2,,
Coventry,Middlesbrough,2,1,,
Man United,Sunderland,4,0,,
Southampton,Watford,2,0,,
Sheffield Weds,Chelsea,1,0,,
Tottenham,Aston Villa,2,4,,
West Ham,Newcastle,2,1,,
Chelsea,Coventry,2,1,,
Wimbledon,Sheffield Weds,0,2,,
Middlesbrough,Man United,3,4,,
Liverpool,Tottenham,2,0,,
Aston Villa,Leeds,1,0,,
Watford,Derby,0,0,,
Leicester,Everton,1,1,,
Bradford,Southampton,1,2,,
Sunderland,Wimbledon,2,1,,
Sheffield Weds,Aston Villa,0,1,,
Tottenham,Middlesbrough,2,3,,
Derby,Leicester,3,0,,
Man United,West Ham,7,1,,
Newcastle,Bradford,2,0,,
Wimbledon,Arsenal,1,3,,
Leeds,Chelsea,0,1,,
Coventry,Liverpool,0,3,,
Southampton,Sunderland,1,2,,
Everton,Watford,4,2,,
Leicester,Leeds,2,1,,
Arsenal,Coventry,3,0,,
West Ham,Wimbledon,2,1,,
Watford,Tottenham,1,1,,
Aston Villa,Derby,2,0,,
Liverpool,Newcastle,2,1,,
Middlesbrough,Sheffield Weds,1,0,,
Chelsea,Southampton,1,1,,
Sunderland,Everton,2,1,,
Bradford,Man United,0,4,,
Leeds,Wimbledon,4,1,,
Arsenal,Tottenham,2,1,,
Everton,Newcastle,0,2,,
Coventry,Bradford,4,0,,
Southampton,Aston Villa,2,0,,
Sunderland,Middlesbrough,1,1,,
West Ham,Chelsea,0,0,,
Watford,Sheffield Weds,1,0,,
Leicester,Man United,0,2,,
Derby,Liverpool,0,2,,
Liverpool,Aston Villa,0,0,,
Coventry,Everton,1,0,,
Bradford,Leeds,1,2,,
Middlesbrough,Arsenal,2,1,,
Chelsea,Everton,1,1,,
Tottenham,Southampton,7,2,,
Sheffield Weds,West Ham,3,1,,
Wimbledon,Leicester,2,1,,
Aston Villa,Coventry,1,0,,
Liverpool,Sunderland,1,1,,
Man United,Derby,3,1,,
Newcastle,Watford,1,0,,
West Ham,Southampton,2,0,,
Aston Villa,Arsenal,1,1,,
Leeds,Coventry,3,0,,
Leicester,Sunderland,5,2,,
Everton,Sheffield Weds,1,1,,
Watford,West Ham,1,2,,
Man United,Liverpool,1,1,,
Southampton,Middlesbrough,1,1,,
Tottenham,Bradford,1,1,,
Derby,Wimbledon,4,0,,
Newcastle,Chelsea,0,1,,
Bradford,Aston Villa,1,1,,
West Ham,Everton,0,4,,
Sunderland,Derby,1,1,,
Arsenal,Southampton,3,1,,
Chelsea,Watford,2,1,,
Sheffield Weds,Newcastle,0,2,,
Coventry,Tottenham,0,1,,
Middlesbrough,Leeds,0,0,,
Wimbledon,Man United,2,2,,
Leeds,Man United,0,1,,
Middlesbrough,Coventry,2,0,,
Middlesbrough,Aston Villa,0,4,,
Arsenal,Liverpool,0,1,,
Coventry,Sunderland,3,2,,
Chelsea,Wimbledon,3,1,,
Sheffield Weds,Southampton,0,1,,
Everton,Derby,2,1,,
Leeds,Tottenham,1,0,,
Watford,Leicester,1,1,,
Newcastle,Man United,3,0,,
West Ham,Bradford,5,4,,
Wimbledon,Everton,0,3,,
Tottenham,Chelsea,0,1,,
Liverpool,Leeds,3,1,,
Leicester,Middlesbrough,2,1,,
Bradford,Arsenal,2,1,,
Southampton,West Ham,2,1,,
Derby,Sheffield Weds,3,3,,
Man United,Coventry,3,2,,
Sunderland,Newcastle,2,2,,
Aston Villa,Watford,4,0,,
Sheffield Weds,Man United,0,1,,
Man United,Middlesbrough,1,0,,
Man United,Arsenal,1,1,,
Sunderland,Leeds,1,2,,
Wimbledon,Newcastle,2,0,,
Bradford,Watford,3,2,,
Southampton,Everton,2,0,,
Aston Villa,Chelsea,0,0,,
Derby,Coventry,0,0,,
Tottenham,Sheffield Weds,0,1,,
Leicester,West Ham,1,3,,
Liverpool,Middlesbrough,0,0,,
Newcastle,Southampton,5,0,,
Chelsea,Leicester,1,1,,
Sheffield Weds,Bradford,2,0,,
Everton,Tottenham,2,2,,
Coventry,Wimbledon,2,0,,
Middlesbrough,Derby,1,4,,
West Ham,Aston Villa,1,1,,
Arsenal,Sunderland,4,1,,
Watford,Liverpool,2,3,,
Chelsea,Tottenham,1,0,,
Bradford,Chelsea,1,1,,
Coventry,Chelsea,2,2,,
Derby,Watford,2,0,,
Southampton,Bradford,1,0,,
Wimbledon,Sunderland,1,0,,
Tottenham,Liverpool,1,0,,
Sheffield Weds,Arsenal,1,1,,
Everton,Leicester,2,2,,
Leeds,Aston Villa,1,2,,
Newcastle,West Ham,2,2,,
Chelsea,Sheffield Weds,3,0,,
Aston Villa,Tottenham,1,1,,
Liverpool,Wimbledon,3,1,,
Bradford,Everton,0,0,,
West Ham,Derby,1,1,,
Arsenal,Leeds,2,0,,
Leicester,Newcastle,1,2,,
Sunderland,Man United,2,2,,
Watford,Southampton,3,2,,
Wimbledon,West Ham,2,2,,
Newcastle,Liverpool,2,2,,
Man United,Bradford,4,0,,
Everton,Sunderland,5,0,,
Southampton,Chelsea,1,2,,
Tottenham,Watford,4,0,,
Leeds,Leicester,2,1,,
Coventry,Arsenal,3,2,,
Sheffield Weds,Middlesbrough,1,0,,
Derby,Aston Villa,0,2,,
Chelsea,Leeds,0,2,,
Watford,Everton,1,3,,
Sunderland,Southampton,2,0,,
Aston Villa,Sheffield Weds,2,1,,
Leicester,Derby,0,1,,
Bradford,Newcastle,2,0,,
Middlesbrough,Tottenham,2,1,,
Liverpool,Coventry,2,0,,
West Ham,Man United,2,4,,
Arsenal,Wimbledon,1,1,,
Tottenham,West Ham,0,0,,
Liverpool,Sheffield Weds,4,1,,
Derby,Leeds,0,1,,
Southampton,Coventry,0,0,,
Aston Villa,Newcastle,0,1,,
Bradford,Middlesbrough,1,1,,
Wimbledon,Watford,5,0,,
Leicester,Arsenal,0,3,,
Man United,Everton,5,1,,
Sunderland,Chelsea,4,1,,
Chelsea,Bradford,1,0,,
Newcastle,Tottenham,2,1,,
Arsenal,Derby,2,1,,
Leeds,Southampton,1,0,,
West Ham,Liverpool,1,0,,
Everton,Aston Villa,0,0,,
Coventry,Leicester,0,1,,
Middlesbrough,Wimbledon,0,0,,
Watford,Sunderland,2,3,,
Coventry,Aston Villa,2,1,,
West Ham,Sheffield Weds,4,3,,
Leeds,Bradford,2,1,,
Leicester,Wimbledon,2,1,,
Watford,Newcastle,1,1,,
Everton,Chelsea,1,1,,
Derby,Man United,1,2,,
Sunderland,Liverpool,0,2,,
Southampton,Tottenham,0,1,,
Arsenal,Middlesbrough,5,1,,
Chelsea,West Ham,0,0,,
Wimbledon,Leeds,2,0,,
Newcastle,Everton,1,1,,
Tottenham,Arsenal,2,1,,
Bradford,Coventry,1,1,,
Sheffield Weds,Watford,2,2,,
Aston Villa,Southampton,0,1,,
Liverpool,Derby,2,0,,
Man United,Leicester,2,0,,
Middlesbrough,Sunderland,1,1,,
Liverpool,Bradford,3,1,,
Coventry,Watford,4,0,,
Sunderland,Tottenham,2,1,,
Arsenal,Newcastle,0,0,,
Wimbledon,Southampton,1,1,,
Leeds,West Ham,1,0,,
Man United,Aston Villa,3,0,,
Leicester,Sheffield Weds,3,0,,
Derby,Chelsea,3,1,,
Middlesbrough,Everton,2,1,,
Liverpool,West Ham,1,0,,
Newcastle,Derby,2,0,,
Everton,Leeds,4,4,,
West Ham,Sunderland,1,1,,
Watford,Middlesbrough,1,3,,
Aston Villa,Wimbledon,1,1,,
Tottenham,Man United,3,1,,
Bradford,Leicester,3,1,,
Sheffield Weds,Coventry,0,0,,
Chelsea,Arsenal,2,3,,
Southampton,Liverpool,1,1,,
Sunderland,Aston Villa,2,1,,
Middlesbrough,West Ham,2,0,,
Derby,Tottenham,0,1,,
Leicester,Southampton,2,1,,
Leeds,Sheffield Weds,2,0,,
Man United,Watford,4,1,,
Wimbledon,Bradford,3,2,,
Coventry,Newcastle,4,1,,
Arsenal,Everton,4,1,,
Liverpool,Chelsea,1,0,,
Southampton,Derby,3,3,,
Watford,Leeds,1,2,,
Chelsea,Man United,5,0,,
Tottenham,Leicester,2,3,,
Newcastle,Middlesbrough,2,1,,
West Ham,Arsenal,2,1,,
Aston Villa,Liverpool,0,0,,
Bradford,Sunderland,0,4,,
Everton,Coventry,1,1,,
Sheffield Weds,Wimbledon,5,1,,
Liverpool,Everton,0,1,,
Wimbledon,Tottenham,1,1,,
Leicester,Aston Villa,3,1,,
