HomeTeam,AwayTeam,HomeGoal,AwayGoal,HomeShotOnTarget,AwayShotOnTarget
Southampton,Leicester,2,2,,
Newcastle,Crystal Palace,3,2,,
Liverpool,Blackburn,2,1,,
Chelsea,Arsenal,2,1,,
Sheffield Weds,Ipswich,4,1,,
West Ham,Man United,1,1,,
Tottenham,Leeds,1,1,,
Man City,QPR,2,3,,
Coventry,Everton,0,0,,
Norwich,Aston Villa,1,1,,
Wimbledon,Nott'm Forest,2,2,,
Man United,Southampton,2,1,,
West Ham,Liverpool,3,0,,
Tottenham,Coventry,1,3,,
Ipswich,Everton,0,1,,
Leeds,Crystal Palace,3,1,,
Blackburn,Newcastle,1,0,,
Man United,Sheffield Weds,1,0,,
QPR,Tottenham,2,1,,
Leicester,Chelsea,1,1,,
Aston Villa,Liverpool,2,0,,
Crystal Palace,West Ham,1,0,,
Everton,Southampton,0,0,,
Ipswich,Coventry,2,0,,
Nott'm Forest,Man City,1,0,,
Leeds,Norwich,2,1,,
Arsenal,Wimbledon,0,0,,
Southampton,Crystal Palace,3,1,,
Everton,Chelsea,3,3,,
Aston Villa,Man City,1,1,,
Newcastle,Tottenham,3,3,,
West Ham,QPR,0,0,,
Wimbledon,Liverpool,0,0,,
Coventry,Man United,2,3,,
West Ham,Blackburn,2,0,,
Arsenal,Tottenham,1,1,,
Chelsea,QPR,1,0,,
Crystal Palace,Nott'm Forest,1,2,,
Southampton,Sheffield Weds,0,0,,
Leicester,Ipswich,2,0,,
Norwich,Liverpool,1,2,,
Leeds,Aston Villa,1,0,,
Man City,Newcastle,0,0,,
Everton,Wimbledon,0,0,,
Blackburn,Crystal Palace,2,1,,
Newcastle,Leeds,1,2,,
Blackburn,Man City,2,3,,
Wimbledon,Southampton,0,2,,
Sheffield Weds,Everton,0,0,,
Liverpool,Leicester,2,0,,
QPR,Crystal Palace,0,1,,
Nott'm Forest,Coventry,2,0,,
Tottenham,Norwich,1,0,,
Ipswich,West Ham,1,1,,
Man United,Chelsea,0,0,,
Aston Villa,Arsenal,0,4,,
Arsenal,Ipswich,4,1,,
Leicester,Man United,0,4,,
Southampton,QPR,2,1,,
Leeds,Blackburn,1,1,,
Chelsea,Aston Villa,1,0,,
Coventry,Sheffield Weds,2,0,,
Man City,Liverpool,2,1,,
Crystal Palace,Tottenham,1,1,,
Everton,Newcastle,2,0,,
West Ham,Wimbledon,3,0,,
Norwich,Nott'm Forest,0,1,,
Chelsea,Southampton,0,2,,
Arsenal,Liverpool,0,1,,
Tottenham,Man City,2,1,,
Ipswich,QPR,0,1,,
Wimbledon,Chelsea,1,1,,
Liverpool,Leeds,0,1,,
QPR,Arsenal,3,1,,
Newcastle,Norwich,3,0,,
Sheffield Weds,Leicester,1,0,,
Nott'm Forest,West Ham,1,1,,
Leicester,Norwich,1,0,,
Liverpool,Southampton,3,1,,
Leeds,Ipswich,4,0,,
Crystal Palace,Aston Villa,0,0,,
QPR,Blackburn,0,1,,
Man United,Leeds,0,0,,
Southampton,Tottenham,4,3,,
Sheffield Weds,Nott'm Forest,1,7,,
Chelsea,Newcastle,1,1,,
Everton,Blackburn,1,2,,
Arsenal,Norwich,5,1,,
Coventry,QPR,0,1,,
Crystal Palace,Man City,2,1,,
Leicester,Wimbledon,3,4,,
Ipswich,Aston Villa,0,1,,
Tottenham,Liverpool,0,0,,
Southampton,Newcastle,3,1,,
Nott'm Forest,Leeds,3,0,,
QPR,Chelsea,1,0,,
Man United,Arsenal,3,0,,
Wimbledon,Man City,2,0,,
Norwich,Ipswich,3,0,,
Liverpool,Man United,2,0,,
Newcastle,Arsenal,1,0,,
Tottenham,Leicester,1,0,,
QPR,Everton,2,3,,
Leeds,Coventry,3,0,,
Nott'm Forest,Southampton,3,0,,
Blackburn,Chelsea,2,1,,
Man City,Sheffield Weds,3,2,,
Wimbledon,Crystal Palace,2,0,,
Aston Villa,West Ham,0,2,,
Southampton,West Ham,1,1,,
Leicester,Leeds,1,3,,
QPR,Norwich,2,0,,
Everton,Man City,1,1,,
Man United,Tottenham,0,0,,
Liverpool,Coventry,2,3,,
Crystal Palace,Sheffield Weds,2,1,,
Coventry,Blackburn,1,1,,
Sheffield Weds,Wimbledon,0,1,,
Leicester,Nott'm Forest,2,4,,
West Ham,Norwich,2,2,,
Chelsea,Leeds,0,3,,
QPR,Leicester,2,0,,
Norwich,Sheffield Weds,0,0,,
Newcastle,West Ham,2,0,,
Tottenham,Ipswich,3,0,,
Man City,Chelsea,1,2,,
Nott'm Forest,Everton,2,1,,
Blackburn,Arsenal,3,1,,
Wimbledon,Man United,0,1,,
Aston Villa,Coventry,0,0,,
Arsenal,West Ham,0,1,,
Chelsea,Crystal Palace,0,0,,
Leeds,Sheffield Weds,0,1,,
Wimbledon,QPR,1,3,,
Nott'm Forest,Tottenham,2,2,,
Liverpool,Newcastle,2,0,,
Southampton,Coventry,0,0,,
Leicester,Everton,2,2,,
Aston Villa,Blackburn,0,1,,
Man United,Ipswich,9,0,,
Norwich,Man City,1,1,,
Ipswich,Newcastle,0,2,,
QPR,Nott'm Forest,1,1,,
Newcastle,Aston Villa,3,1,,
Sheffield Weds,Liverpool,1,2,,
Tottenham,Wimbledon,1,2,,
Blackburn,Norwich,0,0,,
Coventry,Leicester,4,2,,
Ipswich,Southampton,2,1,,
Man City,Leeds,0,0,,
West Ham,Chelsea,1,2,,
Crystal Palace,Arsenal,0,3,,
Everton,Man United,1,0,,
Leeds,Everton,1,0,,
Blackburn,Wimbledon,2,1,,
Aston Villa,Leicester,4,4,,
Norwich,Man United,0,2,,
Man City,Ipswich,2,0,,
Arsenal,Nott'm Forest,1,0,,
Coventry,West Ham,2,0,,
Sheffield Weds,Aston Villa,1,2,,
West Ham,Everton,2,2,,
Blackburn,Sheffield Weds,3,1,,
Arsenal,Leicester,1,1,,
Crystal Palace,Coventry,0,2,,
Liverpool,QPR,1,1,,
Norwich,Southampton,2,2,,
Chelsea,Tottenham,1,1,,
Aston Villa,Wimbledon,7,1,,
Man City,Man United,0,3,,
Newcastle,Nott'm Forest,2,1,,
Tottenham,Blackburn,3,1,,
QPR,Newcastle,3,0,,
Ipswich,Crystal Palace,0,2,,
Wimbledon,Leeds,0,0,,
Southampton,Man City,2,2,,
Leicester,West Ham,1,2,,
Man United,Aston Villa,1,0,,
Sheffield Weds,Arsenal,3,1,,
Coventry,Chelsea,2,2,,
Nott'm Forest,Liverpool,1,1,,
Everton,Norwich,2,1,,
Newcastle,Everton,2,0,,
Blackburn,Leeds,1,1,,
Blackburn,Ipswich,4,1,,
Man City,Leicester,0,1,,
Chelsea,Nott'm Forest,0,2,,
Norwich,Coventry,2,2,,
Newcastle,Wimbledon,2,1,,
Aston Villa,Tottenham,1,0,,
Crystal Palace,Man United,1,1,,
Leeds,QPR,4,0,,
Liverpool,Everton,0,0,,
Arsenal,Southampton,1,1,,
West Ham,Sheffield Weds,0,2,,
Man United,Blackburn,1,0,,
Sheffield Weds,Newcastle,0,0,,
Nott'm Forest,Aston Villa,1,2,,
Ipswich,Chelsea,2,2,,
Coventry,Arsenal,0,1,,
Everton,Crystal Palace,3,1,,
Newcastle,Man United,1,1,,
Blackburn,Nott'm Forest,3,0,,
Liverpool,Ipswich,0,1,,
Aston Villa,QPR,2,1,,
Leeds,Southampton,0,0,,
Crystal Palace,Leicester,2,0,,
Man City,Coventry,0,0,,
West Ham,Tottenham,1,2,,
Norwich,Wimbledon,1,2,,
Chelsea,Sheffield Weds,1,1,,
Arsenal,Everton,1,1,,
Man United,Coventry,2,0,,
Tottenham,Arsenal,1,0,,
Liverpool,Norwich,4,0,,
Newcastle,Man City,0,0,,
Nott'm Forest,Crystal Palace,1,0,,
Ipswich,Leicester,4,1,,
Wimbledon,Everton,2,1,,
Aston Villa,Leeds,0,0,,
Blackburn,West Ham,4,2,,
Sheffield Weds,Southampton,1,1,,
Arsenal,QPR,1,3,,
Crystal Palace,Blackburn,0,1,,
West Ham,Nott'm Forest,3,1,,
Man City,Aston Villa,2,2,,
Leeds,Liverpool,0,2,,
Everton,Ipswich,4,1,,
Coventry,Tottenham,0,4,,
Leicester,Sheffield Weds,0,1,,
Norwich,Newcastle,2,1,,
Southampton,Man United,2,2,,
Chelsea,Wimbledon,1,1,,
Sheffield Weds,Coventry,5,1,,
Ipswich,Arsenal,0,2,,
Wimbledon,West Ham,1,0,,
Liverpool,Man City,2,0,,
Man United,Leicester,1,1,,
Aston Villa,Chelsea,3,0,,
QPR,Southampton,2,2,,
Nott'm Forest,Norwich,1,0,,
Tottenham,Crystal Palace,0,0,,
Coventry,Nott'm Forest,0,0,,
Southampton,Wimbledon,2,3,,
Leeds,Newcastle,0,0,,
Arsenal,Aston Villa,0,0,,
Norwich,Tottenham,0,2,,
Man City,Blackburn,1,3,,
Chelsea,Man United,2,3,,
Crystal Palace,QPR,0,0,,
Everton,Sheffield Weds,1,4,,
West Ham,Ipswich,1,1,,
Leicester,Liverpool,1,2,,
Southampton,Aston Villa,2,1,,
Chelsea,Liverpool,0,0,,
Man United,Nott'm Forest,1,2,,
Crystal Palace,Norwich,0,1,,
Sheffield Weds,QPR,0,2,,
Everton,Tottenham,0,0,,
Arsenal,Leeds,1,3,,
Coventry,Newcastle,0,0,,
Leicester,Blackburn,0,0,,
West Ham,Man City,3,0,,
Ipswich,Wimbledon,2,2,,
Man City,Arsenal,1,2,,
