HomeTeam,AwayTeam,HomeGoal,AwayGoal,HomeShotOnTarget,AwayShotOnTarget
Wimbledon,Derby,2,1,,
Newcastle,Chelsea,0,1,,
Sheffield Weds,Tottenham,0,0,,
Leeds,Wimbledon,2,2,,
Chelsea,Man United,0,0,,
Derby,Middlesbrough,2,1,,
Nott'm Forest,Southampton,1,1,,
West Ham,Coventry,2,0,,
Aston Villa,Sheffield Weds,2,1,,
Tottenham,Everton,4,1,,
Leicester,Blackburn,1,1,,
Charlton,Arsenal,0,1,,
Liverpool,Newcastle,4,2,,
Blackburn,Aston Villa,2,1,,
Southampton,Chelsea,0,2,,
Arsenal,West Ham,1,0,,
Man United,Nott'm Forest,3,0,,
Coventry,Tottenham,1,1,,
Everton,Derby,0,0,,
Sheffield Weds,Leicester,0,1,,
Newcastle,Leeds,0,3,,
Middlesbrough,Liverpool,1,3,,
Wimbledon,Charlton,2,1,,
Charlton,Aston Villa,0,1,,
Arsenal,Leeds,3,1,,
Southampton,Wimbledon,3,1,,
Liverpool,Sheffield Weds,2,0,,
Coventry,Derby,1,1,,
Nott'm Forest,Blackburn,2,2,,
West Ham,Everton,2,1,,
Newcastle,Leicester,1,0,,
Chelsea,Tottenham,2,0,,
Man United,Middlesbrough,2,3,,
Man United,Chelsea,1,1,,
Leeds,Coventry,2,0,,
Wimbledon,Liverpool,1,0,,
Aston Villa,Arsenal,3,2,,
Tottenham,Man United,2,2,,
Sheffield Weds,Charlton,3,0,,
Derby,Chelsea,2,2,,
Middlesbrough,West Ham,1,0,,
Blackburn,Newcastle,0,0,,
Everton,Southampton,1,0,,
Leicester,Nott'm Forest,3,1,,
Chelsea,Aston Villa,2,1,,
Sheffield Weds,Nott'm Forest,3,2,,
Middlesbrough,Newcastle,2,2,,
Leeds,West Ham,4,0,,
Blackburn,Charlton,1,0,,
Aston Villa,Man United,1,1,,
Leicester,Southampton,2,0,,
Tottenham,Liverpool,2,1,,
Everton,Chelsea,0,0,,
Wimbledon,Coventry,2,1,,
Derby,Arsenal,0,0,,
Arsenal,Middlesbrough,1,1,,
Liverpool,Blackburn,2,0,,
Man United,Leeds,3,2,,
Southampton,Derby,0,1,,
Charlton,Everton,1,2,,
Newcastle,Wimbledon,3,1,,
Nott'm Forest,Aston Villa,2,2,,
Coventry,Leicester,1,1,,
West Ham,Tottenham,2,1,,
Chelsea,Sheffield Weds,1,1,,
Everton,Newcastle,1,0,,
Derby,West Ham,0,2,,
Sheffield Weds,Man United,3,1,,
Middlesbrough,Coventry,2,0,,
Aston Villa,Liverpool,2,4,,
Wimbledon,Arsenal,1,0,,
Blackburn,Southampton,0,2,,
Leicester,Chelsea,2,4,,
Tottenham,Nott'm Forest,2,0,,
Leeds,Charlton,4,1,,
Nott'm Forest,Derby,2,2,,
Coventry,Everton,3,0,,
West Ham,Leicester,3,2,,
Arsenal,Tottenham,0,0,,
Southampton,Aston Villa,1,4,,
Chelsea,Wimbledon,3,0,,
Charlton,Middlesbrough,1,1,,
Liverpool,Leeds,1,3,,
Man United,Blackburn,3,2,,
Newcastle,Sheffield Weds,1,1,,
Man United,Newcastle,0,0,,
Leeds,Sheffield Weds,2,1,,
West Ham,Chelsea,1,1,,
Arsenal,Everton,1,0,,
Liverpool,Derby,1,2,,
Blackburn,Coventry,1,2,,
Nott'm Forest,Wimbledon,0,1,,
Charlton,Leicester,0,0,,
Southampton,Middlesbrough,3,3,,
Aston Villa,Tottenham,3,2,,
Tottenham,Charlton,2,2,,
Middlesbrough,Nott'm Forest,1,1,,
Derby,Leeds,2,2,,
Everton,Man United,1,4,,
Wimbledon,Blackburn,1,1,,
Leicester,Liverpool,1,0,,
Coventry,Arsenal,0,1,,
Newcastle,West Ham,0,3,,
Sheffield Weds,Southampton,0,0,,
Leeds,Chelsea,0,0,,
Blackburn,Arsenal,1,2,,
Liverpool,Nott'm Forest,5,1,,
Aston Villa,Leicester,1,1,,
Southampton,Coventry,2,1,,
Tottenham,Newcastle,2,0,,
Charlton,West Ham,4,2,,
Sheffield Weds,Everton,0,0,,
Derby,Man United,1,1,,
Wimbledon,Middlesbrough,2,2,,
Leicester,Tottenham,2,1,,
Coventry,Sheffield Weds,1,0,,
Nott'm Forest,Leeds,1,1,,
West Ham,Aston Villa,0,0,,
Man United,Wimbledon,5,1,,
Newcastle,Derby,2,1,,
Everton,Liverpool,0,0,,
Arsenal,Southampton,1,1,,
Middlesbrough,Blackburn,2,1,,
Chelsea,Charlton,2,1,,
Liverpool,Chelsea,1,1,,
Arsenal,Newcastle,3,0,,
Middlesbrough,Sheffield Weds,4,0,,
Blackburn,West Ham,3,0,,
Nott'm Forest,Charlton,0,1,,
Leeds,Leicester,0,1,,
Southampton,Man United,0,3,,
Coventry,Aston Villa,1,2,,
Wimbledon,Everton,1,2,,
Derby,Tottenham,0,1,,
West Ham,Southampton,1,0,,
Leicester,Wimbledon,1,1,,
Chelsea,Middlesbrough,2,0,,
Charlton,Coventry,1,1,,
Sheffield Weds,Arsenal,1,0,,
Newcastle,Nott'm Forest,2,0,,
Aston Villa,Derby,1,0,,
Everton,Blackburn,0,0,,
Tottenham,Leeds,3,3,,
Man United,Liverpool,2,0,,
Blackburn,Chelsea,3,4,,
Arsenal,Man United,3,0,,
Coventry,Newcastle,1,5,,
Derby,Leicester,2,0,,
Middlesbrough,Everton,2,2,,
Nott'm Forest,West Ham,0,0,,
Wimbledon,Sheffield Weds,2,1,,
Liverpool,Charlton,3,3,,
Leeds,Aston Villa,0,0,,
Southampton,Tottenham,1,1,,
Tottenham,Middlesbrough,0,3,,
Newcastle,Southampton,4,0,,
West Ham,Liverpool,2,1,,
Everton,Leeds,0,0,,
Leicester,Arsenal,1,1,,
Aston Villa,Wimbledon,2,0,,
Sheffield Weds,Blackburn,3,0,,
Man United,Coventry,2,0,,
Charlton,Derby,1,2,,
Chelsea,Nott'm Forest,2,1,,
Derby,Sheffield Weds,1,0,,
Chelsea,Arsenal,0,0,,
Tottenham,Blackburn,2,1,,
Aston Villa,Newcastle,1,0,,
Liverpool,Coventry,2,0,,
West Ham,Wimbledon,3,4,,
Leicester,Middlesbrough,0,1,,
Man United,Charlton,4,1,,
Nott'm Forest,Everton,0,2,,
Leeds,Southampton,3,0,,
Newcastle,Liverpool,1,4,,
Coventry,West Ham,0,0,,
Sheffield Weds,Aston Villa,0,1,,
Everton,Tottenham,0,1,,
Blackburn,Leicester,1,0,,
Wimbledon,Leeds,1,1,,
Arsenal,Charlton,0,0,,
Southampton,Nott'm Forest,1,2,,
Middlesbrough,Derby,1,1,,
Leeds,Blackburn,1,0,,
Aston Villa,Middlesbrough,3,1,,
Tottenham,Sheffield Weds,0,3,,
Liverpool,Arsenal,0,0,,
West Ham,Man United,0,0,,
Nott'm Forest,Coventry,1,0,,
Leicester,Everton,2,0,,
Derby,Wimbledon,0,0,,
Chelsea,Newcastle,1,1,,
Charlton,Southampton,5,0,,
Arsenal,Nott'm Forest,2,1,,
Southampton,Liverpool,1,2,,
Man United,Leicester,2,2,,
Coventry,Chelsea,2,1,,
Middlesbrough,Leeds,0,0,,
Blackburn,Derby,0,0,,
Sheffield Weds,West Ham,0,1,,
Wimbledon,Tottenham,3,1,,
Everton,Aston Villa,0,0,,
Newcastle,Charlton,0,0,,
