Team,Attack,Defend,HomeAdvantage
Arsenal,2.120843816118014,1.113386626702499,0.35162205504044164
Aston Villa,1.7948161795504463,1.201803958900015,0.35162205504044164
Blackburn,1.568207827869254,0.7720197231196355,0.35162205504044164
Chelsea,2.0794548657743257,0.46952916433008224,0.35162205504044164
Coventry,1.6795164580880404,0.47622347835461304,0.35162205504044164
Derby,1.7761621739269908,0.4557353378075859,0.35162205504044164
Everton,1.6694388289681272,0.4785339674642156,0.35162205504044164
Leeds,1.142791401945124,1.1514569980477534,0.35162205504044164
Leicester,1.8437264693898738,0.5330064437866294,0.35162205504044164
Liverpool,2.1675602989978167,0.9575107547749809,0.35162205504044164
Man United,2.5208308386416136,0.790985800445065,0.35162205504044164
Middlesbrough,1.8280553755018694,0.4415555278598583,0.35162205504044164
Newcastle,2.4204139796159088,0.8675110711596327,0.35162205504044164
Nott'm Forest,1.3923245349653168,0.39721103663225993,0.35162205504044164
Sheffield Weds,1.9176981850506554,0.5906746186925443,0.35162205504044164
Southampton,1.7624447475169058,0.4755331163079196,0.35162205504044164
Sunderland,1.3506948535076397,0.5914784982732387,0.35162205504044164
Tottenham,1.7202572808986345,0.7612392518143074,0.35162205504044164
West Ham,1.4394806095668087,0.6327279293046655,0.35162205504044164
Wimbledon,1.7765030485682487,0.8030025055639078,0.35162205504044164
