rank,Team,Pts,GF,GA,GD
1,Man City,100,106,27,79
2,Man United,81,68,28,40
3,Tottenham,77,74,36,38
4,Liverpool,75,84,38,46
5,Chelsea,70,62,38,24
6,Arsenal,63,74,51,23
7,Burnley,54,36,39,-3
8,Everton,49,44,58,-14
9,Leicester,47,56,60,-4
10,Newcastle,44,39,47,-8
11,Crystal Palace,44,45,55,-10
12,Bournemouth,44,45,61,-16
13,West Ham,42,48,68,-20
14,Watford,41,44,64,-20
15,Brighton,40,34,54,-20
16,Huddersfield,37,28,58,-30
17,Southampton,36,37,56,-19
18,Swansea,33,28,56,-28
19,Stoke,33,35,68,-33
20,West Brom,31,31,56,-25
